Week Ending,Provider State,Residents Weekly Confirmed COVID-19,Residents Weekly All Deaths,Residents Weekly COVID-19 Deaths,Total Number of Occupied Beds
2020-05-31,UT,49.0,20.0,3.0,4948.0
2020-05-31,VA,249.0,177.0,69.0,24381.0
2020-05-31,VT,0.0,13.0,0.0,2172.0
2020-05-31,WA,68.0,69.0,24.0,13259.0
2020-05-31,WI,106.0,179.0,29.0,19648.0
2020-05-31,WV,0.0,47.0,1.0,8547.0
2020-05-31,WY,4.0,13.0,1.0,2172.0
2020-06-07,AK,9.0,0.0,0.0,657.0
2020-06-07,AL,196.0,127.0,25.0,20458.0
2020-06-07,AR,115.0,63.0,7.0,16293.0
2020-06-07,AZ,225.0,128.0,50.0,11035.0
2020-06-07,CA,1215.0,639.0,244.0,88903.0
2020-06-07,CO,78.0,125.0,37.0,15061.0
2020-06-07,CT,228.0,178.0,82.0,17769.0
2020-06-07,DC,9.0,7.0,1.0,1475.0
2020-06-07,DE,69.0,30.0,13.0,3277.0
2020-06-07,FL,289.0,455.0,102.0,64777.0
2020-06-07,GA,431.0,246.0,102.0,29418.0
2020-06-07,GU,0.0,0.0,0.0,10.0
2020-06-07,HI,0.0,5.0,0.0,3451.0
2020-06-07,IA,55.0,118.0,28.0,21184.0
2020-06-07,ID,0.0,21.0,0.0,3820.0
2020-06-07,IL,570.0,557.0,233.0,57769.0
2020-06-07,IN,261.0,263.0,105.0,34528.0
2020-06-07,KS,30.0,95.0,17.0,16372.0
2020-06-07,KY,117.0,94.0,20.0,20922.0
2020-06-07,LA,283.0,171.0,87.0,23024.0
2020-06-07,MA,298.0,264.0,151.0,29520.0
2020-06-07,MD,275.0,230.0,104.0,19106.0
2020-06-07,ME,1.0,38.0,1.0,5424.0
2020-06-07,MI,145.0,596.0,71.0,31470.0
2020-06-07,MN,123.0,223.0,64.0,20824.0
2020-06-07,MO,119.0,181.0,44.0,35400.0
2020-06-07,MS,275.0,98.0,58.0,14794.0
2020-06-07,MT,0.0,13.0,0.0,3668.0
2020-06-07,NC,188.0,261.0,59.0,33239.0
2020-06-07,ND,6.0,25.0,2.0,4891.0
2020-06-07,NE,43.0,83.0,11.0,10096.0
2020-06-07,NH,75.0,57.0,33.0,5705.0
2020-06-07,NJ,650.0,690.0,218.0,33738.0
2020-06-07,NM,29.0,36.0,7.0,4786.0
2020-06-07,NV,24.0,29.0,8.0,4779.0
2020-06-07,NY,1110.0,735.0,243.0,90210.0
2020-06-07,OH,292.0,472.0,88.0,64048.0
2020-06-07,OK,67.0,70.0,8.0,16330.0
2020-06-07,OR,37.0,65.0,2.0,6602.0
2020-06-07,PA,838.0,847.0,216.0,65516.0
2020-06-07,PR,0.0,0.0,0.0,47.0
2020-06-07,RI,102.0,66.0,40.0,6256.0
2020-06-07,SC,127.0,107.0,28.0,15997.0
